,Question Type,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Section,Module
10,Case Study,Emma is a sole trader who has just received a large order but is concerned about the financial implications if her business fails. What should she be aware of regarding her personal financial situation?,A. She can limit her liability by forming a partnership.  ,B. She will not be personally liable for any business debts.  ,C. Her personal assets could be at risk if the business incurs debts.  ,D. She will need to pay taxes as a corporation.  ,E. She must register her business with Companies House.  ,C,"Emma should be aware that as a sole trader, her personal assets could be at risk if her business incurs debts, as she has unlimited liability. Option A is incorrect because forming a partnership does not limit her liability; it only shares it. Option B is incorrect as she is personally liable for business debts. Option D is incorrect because sole traders pay income tax, not corporation tax. Option E is incorrect since sole traders do not need to register with Companies House.",Choosing a business form - Sole traders,Business Law and Practice
11,Case Study,Sarah and Tom want to start a small catering business together. They are considering forming an ordinary partnership but are concerned about their personal liability for business debts. What should you advise them regarding the nature of their liability in an ordinary partnership?,A. They will have limited liability for the business debts.  ,B. They will be jointly and severally liable for the business debts.  ,C. They will need to register their partnership at Companies House.  ,D. They will have to create a written partnership agreement to limit their liability.  ,E. They will have no liability for the business debts as long as they operate under a business name.  ,B,"In an ordinary partnership, partners are jointly and severally liable for the debts of the business, meaning that each partner can be held responsible for the entire amount of the debt, not just their share. This is a significant risk for Sarah and Tom to consider, as they will not have the protection of limited liability that comes with other business structures like a limited company. They do not need to register their partnership at Companies House, and while a written partnership agreement is advisable, it does not affect their liability.",Choosing a business form - Ordinary partnerships,Business Law and Practice
12,Theoretical,What is the primary legal definition of a partnership according to the Partnership Act 1890?,A. A formal agreement between two or more individuals to conduct business.  ,B. A relationship between persons carrying on a business in common with a view of profit.  ,C. An organization that limits the liability of its members.  ,D. A business entity that must be registered with Companies House.  ,E. A type of company that requires a written agreement to operate.  ,B,"The Partnership Act 1890 defines a partnership as ""the relation which subsists between persons carrying on a business in common with a view of profit."" This definition highlights the collaborative nature of partnerships and the intention to generate profit, which is essential for understanding the legal framework governing partnerships.",Choosing a business form - Ordinary partnerships,Business Law and Practice
13,Case Study,Mark and Lisa are considering whether to form an ordinary partnership or a limited liability partnership (LLP) for their new graphic design business. What is one major advantage of choosing an LLP over an ordinary partnership?,A. LLPs do not require any registration with HMRC.  ,B. LLPs provide limited liability protection to their members.  ,C. LLPs are less administratively burdensome than ordinary partnerships.  ,D. LLPs can be formed without any written agreement.  ,E. LLPs are automatically registered at Companies House.  ,B,"One major advantage of forming a limited liability partnership (LLP) over an ordinary partnership is that LLPs provide limited liability protection to their members. This means that the personal assets of the members are protected from the debts and liabilities of the business, unlike in an ordinary partnership where partners are jointly and severally liable for all business debts.",Choosing a business form - Ordinary partnerships,Business Law and Practice
14,Theoretical,Which of the following statements is true regarding the registration of an ordinary partnership?,A. Ordinary partnerships must be registered with Companies House.  ,B. Ordinary partnerships must register with HMRC.  ,C. Ordinary partnerships require a written partnership agreement to be valid.  ,D. Ordinary partnerships are automatically registered upon formation.  ,E. Ordinary partnerships are subject to annual reporting requirements.  ,B,"Ordinary partnerships do not need to be registered at Companies House, but they do need to register with HMRC for tax purposes. This registration is necessary to inform HMRC that the individuals are operating a partnership for tax obligations. A written partnership agreement is recommended but not required for the validity of the partnership.",Choosing a business form - Ordinary partnerships,Business Law and Practice
15,Case Study,Emma is starting a consultancy business and is unsure whether to operate as a sole trader or in partnership with her colleague. What is a key disadvantage of operating as an ordinary partnership that she should consider?,A. She will have to pay more taxes than as a sole trader.  ,B. She will have to share profits with her partner.  ,C. She will be personally liable for all business debts.  ,D. She will need to register with Companies House.  ,E. She will have to create a formal business plan.  ,C,"A key disadvantage of operating as an ordinary partnership is that Emma will be personally liable for all business debts, as partners in an ordinary partnership are jointly and severally liable. This means that if the business incurs debts, creditors can pursue any partner for the full amount, putting personal assets at risk. This liability is a crucial factor to consider when deciding on the business structure.",Choosing a business form - Ordinary partnerships,Business Law and Practice
16,Theoretical,"Under the Partnership Act 1890, what is the default rule regarding the liability of partners in an ordinary partnership?",A. Partners have limited liability for business debts.  ,B. Partners are liable only for their share of the business debts.  ,C. Partners are jointly and severally liable for the business debts.  ,D. Partners are not liable for debts incurred by the business.  ,E. Partners can limit their liability through a written agreement.  ,C,"The default rule under the Partnership Act 1890 is that partners in an ordinary partnership are jointly and severally liable for the business debts. This means that each partner can be held liable for the entire amount of the partnership's debts, which is a significant consideration when forming a partnership.",Choosing a business form - Ordinary partnerships,Business Law and Practice
17,Case Study,Sarah and Tom are considering starting a new business together. They want to limit their personal liability and are interested in a structure that allows them to draft their own agreements. What business structure should they choose?,A. Private Limited Company  ,B. Sole Trader  ,C. Limited Liability Partnership (LLP)  ,D. Ordinary Partnership  ,E. Public Limited Company  ,C,"A Limited Liability Partnership (LLP) would be the best choice for Sarah and Tom as it provides limited liability protection while allowing them to draft their own partnership agreements. Unlike ordinary partnerships, LLPs protect personal assets from business debts, and they can also be formed with companies as members. A private limited company would require more formalities and public documentation, while a sole trader or ordinary partnership does not provide limited liability. A public limited company is not suitable for a small business starting out.",Choosing a business form - Limited liability partnerships,Business Law and Practice
18,Theoretical,What is a key feature of Limited Liability Partnerships (LLPs) that distinguishes them from ordinary partnerships?,A. LLPs must have at least one natural person as a member.  ,B. LLPs are required to file their partnership agreements with Companies House.  ,C. LLPs have separate legal personality and provide limited liability to their members.  ,D. LLPs cannot have corporate members.  ,E. LLPs are subject to the same accounting requirements as sole traders.  ,C,"A key feature of Limited Liability Partnerships (LLPs) is that they have a separate legal personality, which means they can own property and enter into contracts in their own name. Additionally, members of an LLP benefit from limited liability, protecting their personal assets from the debts of the partnership. This distinguishes LLPs from ordinary partnerships, where partners typically have unlimited liability. The other options are incorrect as LLPs can have corporate members, do not file partnership agreements with Companies House, and have more accounting requirements than sole traders.",Choosing a business form - Limited liability partnerships,Business Law and Practice
19,Case Study,Alex is a financial advisor who wants to form a business with another financial advisor. They are considering an LLP but are unsure about the administrative responsibilities. What must they ensure regarding their LLP?,A. Only one member needs to be a designated member.  ,B. At least two members must be designated members.  ,C. They do not need to file any documents with Companies House.  ,D. They can operate without a partnership agreement.  ,E. All members must be natural persons.  ,B,"In an LLP, at least two of the members must be designated members who are responsible for filing certain documents and handling administrative tasks. This requirement ensures that there is accountability within the partnership. The other options are incorrect; an LLP must file certain documents with Companies House, it is advisable to have a partnership agreement, and there is no requirement that all members be natural persons, as LLPs can have corporate members.",Choosing a business form - Limited liability partnerships,Business Law and Practice
20,Theoretical,What must be included at the end of the name of a Limited Liability Partnership (LLP)?,A. Limited Company  ,B. LLP  ,C. Partnership  ,D. Limited Liability Partnership  ,E. Inc.  ,B,"A Limited Liability Partnership (LLP) must include ""Limited Liability Partnership"" or ""LLP"" at the end of its name to indicate its legal structure. This requirement helps to inform clients and the public about the nature of the business and the limited liability status of its members. The other options are incorrect as they do not reflect the proper naming conventions for LLPs.",Choosing a business form - Limited liability partnerships,Business Law and Practice
21,Case Study,Emma is starting a consulting firm and is considering an LLP structure. She wants to know if she can easily raise capital through this structure. What should she know?,A. LLPs cannot grant floating charges.  ,B. LLPs have the same capital-raising capabilities as sole traders.  ,"C. LLPs can grant floating charges, which may facilitate raising capital.  ",D. LLPs are not suitable for raising capital.  ,E. LLPs require all members to be natural persons to raise capital.  ,C,"Emma should know that Limited Liability Partnerships (LLPs) can grant floating charges, which can make it easier to raise capital compared to other structures like sole traders or ordinary partnerships. This feature allows LLPs to secure loans and attract investors more effectively. The other options are incorrect as LLPs do have advantages in capital-raising capabilities, and there is no requirement for all members to be natural persons in order to raise capital.",Choosing a business form - Limited liability partnerships,Business Law and Practice
22,Case Study,Sarah wants to start a new business selling handmade jewelry. She is considering whether to register as a private limited company or operate as a sole trader. What is one major advantage of choosing to register as a private limited company?,A. She will have complete control over all business decisions.  ,B. She will benefit from limited liability protection.  ,C. She will have fewer administrative requirements.  ,D. She will not need to register at Companies House.  ,E. She can operate without a director.  ,B,"The major advantage of registering as a private limited company is that it provides limited liability protection to its shareholders. This means that Sarah's personal assets would be protected from the company's debts and liabilities. In contrast, as a sole trader, she would be personally liable for all business debts. Options A, C, D, and E are incorrect as they either misrepresent the nature of a private limited company or describe advantages that do not apply.",Choosing a business form - Private limited companies,Business Law and Practice
23,Theoretical,What is the primary legal characteristic of a private limited company in relation to its shareholders?,A. Shareholders are personally liable for the company's debts.  ,B. Shareholders can transfer their shares freely without restrictions.  ,C. Shareholders have limited liability for the company's debts.  ,D. Shareholders must be involved in daily management.  ,E. Shareholders are required to hold annual meetings.  ,C,"The primary legal characteristic of a private limited company is that shareholders have limited liability for the company's debts. This means that their financial risk is limited to the amount they have invested in the company. Option A is incorrect because shareholders are not personally liable. Option B is incorrect as share transfers in private limited companies are typically restricted. Option D is incorrect because shareholders do not need to be involved in daily management, and option E is incorrect as annual meetings are not a requirement for private limited companies.",Choosing a business form - Private limited companies,Business Law and Practice
24,Case Study,Tom and Jerry are planning to start a tech startup and are considering forming a partnership. What is one key legal requirement they must meet to establish a partnership?,A. They must register the partnership with Companies House.  ,B. They must have at least three partners.  ,C. They must have a written partnership agreement.  ,D. They must appoint a company secretary.  ,E. They must file annual returns.  ,C,"While a written partnership agreement is not strictly required to form a partnership, it is highly advisable as it outlines the terms of the partnership and helps prevent disputes. Options A and E are incorrect as partnerships do not need to register with Companies House or file annual returns. Option B is incorrect because a partnership can be formed with just two partners. Option D is also incorrect as appointing a company secretary is not a requirement for partnerships.",Choosing a business form - Private limited companies,Business Law and Practice
25,Theoretical,"In the context of business finance, what is equity finance?",A. Borrowing money that must be repaid with interest.  ,B. Selling shares in the company to raise funds.  ,C. Using personal savings to fund the business.  ,D. Receiving grants from the government.  ,E. Obtaining loans from family and friends.  ,B,"Equity finance refers to raising funds by selling shares in the company, which gives investors ownership stakes in the business. Option A describes debt finance, while options C, D, and E refer to other forms of financing that do not involve selling shares.",Choosing a business form - Private limited companies,Business Law and Practice
26,Case Study,Lisa is the sole director and shareholder of her private limited company. She is considering taking a loan to expand her business. What is one important consideration regarding her personal liability?,A. She will be personally liable for the loan if the company defaults.  ,B. She can only take out a loan if she has other shareholders.  ,C. She will not be able to take out a loan as a sole director.  ,D. She must provide a personal guarantee for the loan.  ,E. The loan will not affect her personal credit score.  ,D,"As the sole director and shareholder, Lisa may be required to provide a personal guarantee for the loan, which means she would be personally liable if the company defaults on the loan. Option A is misleading as her liability is limited unless she provides a personal guarantee. Options B and C are incorrect as a sole director can take out loans. Option E is incorrect because taking out a loan can potentially affect her personal credit score if she has to provide a personal guarantee.",Choosing a business form - Private limited companies,Business Law and Practice
27,Theoretical,What is the primary purpose of filing annual returns for a company?,A. To report the company's profits to shareholders.  ,B. To update Companies House with the company's information.  ,C. To pay taxes owed by the company.  ,D. To provide a financial statement to the public.  ,E. To dissolve the company if it is no longer trading.  ,B,"The primary purpose of filing annual returns is to update Companies House with the company's information, including details about directors, shareholders, and registered office address. Option A is incorrect as annual returns do not report profits. Option C is incorrect as taxes are reported separately. Option D is incorrect because financial statements are not the same as annual returns. Option E is incorrect as annual returns do not pertain to dissolving a company.",Choosing a business form - Private limited companies,Business Law and Practice
28,Case Study,Sarah wants to start a new business selling handmade crafts. She is considering whether to form a private limited company (Ltd) or a public limited company (PLC). What is a key reason she should choose a private limited company over a public limited company?,A. A PLC can sell shares to the public.  ,"B. A PLC requires a minimum share capital of £50,000.  ",C. A PLC can have only one director.  ,D. A PLC does not need a qualified company secretary.  ,E. A PLC has fewer regulatory requirements.  ,B,"A private limited company (Ltd) does not have the same stringent requirements as a public limited company (PLC), one of which is the minimum share capital of £50,000 that a PLC must maintain. This makes it more accessible for small businesses like Sarah's to start without needing to meet this financial threshold.",Choosing a business form - Public limited companies,Business Law and Practice
29,Theoretical,What is the fundamental difference between public limited companies and private limited companies?,A. Public limited companies can only be owned by the government.  ,B. Private limited companies can issue shares to the public.  ,C. Public limited companies can trade shares on the stock market.  ,"D. Private limited companies must have a minimum share capital of £50,000.  ",E. Public limited companies do not require a company secretary.  ,C,"The fundamental difference between public limited companies (PLCs) and private limited companies (Ltds) is that PLCs can trade their shares publicly on the stock market, while shares in private companies can only be issued or transferred privately.",Choosing a business form - Public limited companies,Business Law and Practice
30,Case Study,Tom is considering converting his private limited company into a public limited company to raise capital. What is one requirement he must fulfill if he decides to make this conversion?,A. He must have at least one director.  ,"B. He must have a minimum of £50,000 share capital.  ",C. He must have only one shareholder.  ,D. He must appoint a company secretary who is not qualified.  ,E. He must reduce the number of directors to one.  ,B,"To convert a private limited company into a public limited company, Tom must ensure that the company has a minimum share capital of £50,000, which is a requirement for PLCs.",Choosing a business form - Public limited companies,Business Law and Practice
31,Theoretical,Which of the following statements is true regarding the regulatory requirements of public limited companies compared to private limited companies?,A. Public limited companies face fewer regulations than private limited companies.  ,B. Private limited companies must have a qualified company secretary.  ,C. Public limited companies are subject to stricter regulations.  ,D. Private limited companies can trade shares on the stock market.  ,E. Public limited companies do not need to file annual reports.  ,C,"Public limited companies are subject to stricter regulatory requirements compared to private limited companies, which include more extensive reporting and compliance obligations.",Choosing a business form - Public limited companies,Business Law and Practice
32,Case Study,"Emily is a small business owner who is considering the advantages of having ""PLC"" at the end of her company's name. What is a potential benefit of this designation?",A. It allows her to avoid paying taxes.  ,B. It indicates that her company is a government entity.  ,C. It may enhance the prestige of her business.  ,D. It limits her liability to her personal assets.  ,E. It permits her to operate without a company secretary.  ,C,"Having ""PLC"" at the end of her company's name may enhance the prestige of Emily's business, suggesting to clients and partners that it is a larger and more established concern, even if it is not publicly traded.",Choosing a business form - Public limited companies,Business Law and Practice
33,Theoretical,What is the primary purpose of having a qualified company secretary in a public limited company?,A. To manage the company's finances exclusively.  ,B. To ensure compliance with statutory requirements.  ,C. To represent the company in legal matters.  ,D. To handle marketing and sales strategies.  ,E. To oversee employee relations.  ,B,"The primary purpose of having a qualified company secretary in a public limited company is to ensure compliance with statutory requirements, including maintaining corporate governance and regulatory filings.",Choosing a business form - Public limited companies,Business Law and Practice
34,Case Study,Sarah is an entrepreneur looking to start a new online retail business. She is considering whether to operate as a sole trader or to form a limited company. What is the most significant factor she should consider when making her decision?,A. The number of employees she plans to hire  ,B. The potential tax implications and liability exposure  ,C. The nature of the products she intends to sell  ,D. The location of her business operations  ,E. The amount of startup capital she has available  ,B,"The most significant factor Sarah should consider is the potential tax implications and liability exposure. Operating as a sole trader exposes her to unlimited liability, meaning her personal assets could be at risk if the business incurs debts. In contrast, forming a limited company would provide her with limited liability protection, which is crucial for managing risk, especially in a volatile market. While other factors may be relevant, liability and tax considerations are paramount in choosing the appropriate business structure.",Choosing a business form - Commercial awareness talking point,Business Law and Practice
35,Theoretical,What is the primary advantage of forming a Limited Liability Partnership (LLP) compared to a traditional partnership?,A. LLPs are subject to more stringent regulatory requirements.  ,B. Partners in an LLP have unlimited liability for business debts.  ,C. LLPs allow for flexible profit-sharing arrangements among partners.  ,D. LLPs can raise capital through the sale of shares.  ,E. Partners in an LLP enjoy limited liability protection.  ,E,"The primary advantage of forming a Limited Liability Partnership (LLP) is that partners in an LLP enjoy limited liability protection. This means that their personal assets are protected from the debts and liabilities of the business, unlike in a traditional partnership where partners have unlimited liability. This feature makes LLPs an attractive option for professionals and businesses seeking to limit personal risk.",Choosing a business form - Commercial awareness talking point,Business Law and Practice
36,Case Study,Tom is the director of a small manufacturing company. He is considering a new investment strategy that involves significant financial risk. What should Tom prioritize to ensure compliance with legal requirements in his decision-making process?,A. The opinions of his friends and family  ,B. The potential return on investment  ,C. The company's articles of association and statutory duties  ,D. The latest market trends  ,E. The personal financial situation of the shareholders  ,C,"Tom should prioritize the company's articles of association and his statutory duties as a director. This includes ensuring that any investment decisions comply with the legal obligations set out in the Companies Act, such as acting in the best interests of the company and its shareholders. Understanding these requirements is crucial for making informed decisions that protect the company and its stakeholders.",Choosing a business form - Commercial awareness talking point,Business Law and Practice
37,Theoretical,Which of the following is NOT a typical source of financing for a business?,A. Bank loans  ,B. Personal savings  ,C. Crowdfunding  ,D. Government grants  ,E. Personal relationships  ,E,"Personal relationships are not a typical source of financing for a business. While personal relationships may facilitate introductions to potential investors or lenders, they do not directly provide funding. In contrast, bank loans, personal savings, crowdfunding, and government grants are recognized sources of financing that businesses commonly utilize to fund their operations and growth.",Choosing a business form - Commercial awareness talking point,Business Law and Practice
38,Case Study,Lisa is a small business owner who has recently been informed about changes in tax legislation that may affect her business. What action should she take to ensure compliance and minimize tax liabilities?,A. Ignore the changes as they do not affect her business model  ,B. Consult with a tax advisor to understand the implications  ,C. Wait until the end of the financial year to assess the impact  ,D. Increase her prices to cover potential tax increases  ,E. Change her business structure to avoid taxes  ,B,Lisa should consult with a tax advisor to understand the implications of the changes in tax legislation. This proactive approach will help her ensure compliance with the law and identify strategies to minimize her tax liabilities. Ignoring the changes or delaying action could lead to non-compliance and potential penalties.,Choosing a business form - Commercial awareness talking point,Business Law and Practice
39,Theoretical,What is the primary purpose of corporate insolvency laws?,A. To punish directors for poor decision-making  ,B. To provide a mechanism for the orderly winding up of a business  ,C. To protect the interests of creditors only  ,D. To allow shareholders to recover their investments  ,E. To facilitate the sale of a business to competitors  ,B,"The primary purpose of corporate insolvency laws is to provide a mechanism for the orderly winding up of a business. These laws aim to ensure that the process of dealing with an insolvent company is conducted fairly and efficiently, balancing the interests of creditors, employees, and other stakeholders. While protecting creditors is an important aspect, the overarching goal is to manage the insolvency process in an orderly manner.",Choosing a business form - Commercial awareness talking point,Business Law and Practice
40,Case Study,Sarah is considering starting a new business and is unsure whether to form a limited company or operate as a sole trader. What is one significant advantage of forming a limited company over being a sole trader?,A. Limited companies are subject to less regulation than sole traders.  ,B. Sole traders have unlimited liability for business debts.  ,C. Limited companies can avoid paying taxes altogether.  ,D. Sole traders can raise capital more easily than limited companies.  ,E. Limited companies do not need to keep financial records.  ,B,"The significant advantage of forming a limited company is that it provides limited liability protection to its owners (shareholders), meaning they are not personally liable for the company's debts beyond their investment in shares. In contrast, sole traders have unlimited liability, which means they are personally responsible for all business debts, putting their personal assets at risk.",Private limited - Formation of the company,Business Law and Practice
41,Theoretical,What is the primary legal document required to formally establish a private limited company in the UK?,A. Partnership Agreement  ,B. Memorandum of Association  ,C. Articles of Association  ,D. Business Plan  ,E. Shareholder Agreement  ,B,"The primary legal document required to establish a private limited company in the UK is the Memorandum of Association. This document outlines the company's name, the location of its registered office, and the liability of its members. The Articles of Association also play a crucial role as they govern the internal management of the company, but the Memorandum is essential for the company’s formation.",Private limited - Formation of the company,Business Law and Practice
42,Case Study,Tom wants to start a partnership with his friend Lisa. They are considering the implications of their business structure. What is one key advantage of forming a partnership compared to a sole trader?,A. Partnerships do not require any formal agreements.  ,B. Partnerships are subject to more stringent regulations than sole traders.  ,C. Partnerships allow for shared decision-making and resources.  ,D. Sole traders have access to more tax benefits than partnerships.  ,E. Partnerships can operate without any financial records.  ,C,"One key advantage of forming a partnership is that it allows for shared decision-making and pooling of resources, which can lead to better business outcomes. In a partnership, both partners can contribute their skills, expertise, and capital, whereas a sole trader operates alone and bears all responsibilities.",Private limited - Formation of the company,Business Law and Practice
43,Theoretical,Which of the following is a primary consideration when financing a business through equity?,A. The business will incur fixed interest payments.  ,B. Equity financing does not require repayment.  ,C. Equity financing is always cheaper than debt financing.  ,D. Equity investors have no say in company management.  ,E. Equity financing guarantees profits for investors.  ,B,"A primary consideration when financing a business through equity is that equity financing does not require repayment like debt financing does. Investors provide capital in exchange for ownership shares in the company, which means they share in the profits and losses but do not have to be repaid like a loan.",Private limited - Formation of the company,Business Law and Practice
44,Case Study,Emily is the director of a small limited company and is considering taking a loan to expand her business. What is one key legal obligation she must ensure compliance with before taking the loan?,A. She must ensure the company is not subject to any shareholder disputes.  ,B. She must obtain the approval of all employees before proceeding.  ,C. She must ensure the loan does not exceed the company's authorized share capital.  ,D. She must ensure that the company’s Articles of Association allow for borrowing.  ,E. She must personally guarantee the loan with her personal assets.  ,D,"Before taking a loan, Emily must ensure that the company’s Articles of Association allow for borrowing. The Articles may contain specific provisions regarding the company's ability to incur debt, and compliance with these provisions is essential to ensure that the loan is valid and enforceable.",Private limited - Formation of the company,Business Law and Practice
45,Theoretical,What is the primary purpose of a company’s Articles of Association?,A. To outline the company’s financial projections.  ,B. To govern the internal management and rules of the company.  ,C. To register the company with Companies House.  ,D. To establish the company’s market strategy.  ,E. To define the roles of external stakeholders.  ,B,"The primary purpose of a company’s Articles of Association is to govern the internal management and rules of the company. This document outlines the rights and responsibilities of the shareholders and directors, procedures for meetings, and other operational guidelines essential for the company's governance.",Private limited - Formation of the company,Business Law and Practice
46,Case Study,Sarah wants to start a new business as a plumber and is considering forming a private limited company. What is one significant advantage of forming a private limited company over operating as a sole trader?,A. Limited liability protection for personal assets  ,B. Simpler tax obligations  ,C. No need for formal incorporation documents  ,D. Unlimited ability to raise capital from the public  ,E. Less regulatory compliance required  ,A,"The primary advantage of forming a private limited company is the limited liability protection it offers to its shareholders. This means that the personal assets of the shareholders are protected from the company's debts, whereas a sole trader is personally liable for all business debts. The other options either do not accurately reflect the nature of private limited companies or are incorrect regarding their advantages.",Private limited - Formation of the company - Chapter overview,Business Law and Practice
47,Theoretical,What is the principle of separate legal personality in the context of a private limited company?,A. The company can only enter contracts if all shareholders agree.  ,B. The company is treated as a separate legal entity from its owners.  ,C. The company must distribute profits to shareholders annually.  ,D. The company cannot sue or be sued in its own name.  ,E. The company is automatically dissolved after a certain period.  ,B,"The principle of separate legal personality means that a private limited company is treated as a distinct legal entity separate from its owners (the shareholders). This allows the company to own property, incur debts, and enter contracts in its own name, which is fundamental to the operation of a company.",Private limited - Formation of the company - Chapter overview,Business Law and Practice
