,Question,Answer,Section,Module
39,What legal act introduced limited liability partnerships into UK law?,The Limited Liability Partnerships Act 2000 introduced limited liability partnerships into UK law.,Limited liability partnerships,Business Law and Practice
40,What is a requirement for limited liability partnerships regarding their registration?,Limited liability partnerships must be registered at Companies House.,Limited liability partnerships,Business Law and Practice
41,How does registration affect the legal status of an LLP?,"Once registered, the LLP acquires a separate legal personality, and the partners are protected by limited liability.",Limited liability partnerships,Business Law and Practice
42,What must be included at the end of the name of a limited liability partnership?,Limited liability partnerships must have “Limited Liability Partnership” or “LLP” at the end of their name.,Limited liability partnerships,Business Law and Practice
43,How do the accounting and administrative requirements of LLPs compare to ordinary partnerships?,LLPs have more accounting and administrative requirements than ordinary partnerships.,Limited liability partnerships,Business Law and Practice
44,What financial advantage do LLPs have that is similar to limited companies?,"LLPs can grant floating charges, which may make it easier to raise capital.",Limited liability partnerships,Business Law and Practice
45,What is the requirement regarding members in an LLP concerning designated members?,"At least two of the members of an LLP must be designated members, who have the responsibility to file certain documents and perform administrative tasks.",Limited liability partnerships,Business Law and Practice
46,How do partnership agreements in LLPs differ from articles of association in companies?,"Unlike the articles of association in a company, LLP partnership agreements are not public documents.",Limited liability partnerships,Business Law and Practice
47,What unique feature allows for the formation of LLPs with respect to corporate members?,"LLPs can be formed with two companies as members; unlike private limited companies, there is no requirement that one of the directors is a natural person.",Limited liability partnerships,Business Law and Practice
48,What is the requirement for the name of a private limited company in the UK?,A private limited company must have “Ltd” or “limited” at the end of its name.,Private limited companies,Business Law and Practice
49,What is the minimum number of people required to set up a partnership compared to a private limited company?,"A partnership requires at least two people to set up, while a private limited company can be established by one person.",Private limited companies,Business Law and Practice
50,What legal concept is established when a company is registered at Companies House?,"When a company is registered at Companies House, it gains a separate legal personality.",Private limited companies,Business Law and Practice
51,What is the main advantage of a company's separate legal personality for shareholders?,The main advantage is that shareholders can enjoy limited liability.,Private limited companies,Business Law and Practice
52,"In a corporate structure, what term is used to describe a company that holds a majority of the voting rights in another company?",A company that holds a majority of the voting rights in another company is called a parent or holding company.,Private limited companies,Business Law and Practice
53,What do we call a company that is controlled by another company in terms of voting rights?,A company that is controlled by another company is called a subsidiary.,Private limited companies,Business Law and Practice
54,Under what circumstances may the law treat separate companies as single entities?,"The law may treat separate companies as single entities in certain areas, such as competition law, where statute may intervene.",Private limited companies,Business Law and Practice
55,How have administrative requirements for small companies changed in recent years?,"The administration of small companies, including incorporation and filing requirements, has become much simpler, although they remain more onerous than in partnerships and sole traderships.",Private limited companies,Business Law and Practice
56,What are the two primary methods through which a company can attract finance?,A company can attract finance through issuing shares (equity finance) or by borrowing money (debt finance).,Private limited companies,Business Law and Practice
57,Who primarily runs a company and makes most of its decisions?,A company is largely run by a director or board of directors who take most of the decisions.,Private limited companies,Business Law and Practice
58,What is required regarding the composition of directors in a private limited company?,"A private limited company can have just one director, but at least one director must be a human being.",Private limited companies,Business Law and Practice
59,What is a common occurrence regarding the roles of shareholders and directors in a private limited company?,"It is quite common for the shareholders and directors to be the same individuals, fulfilling different roles.",Private limited companies,Business Law and Practice
60,What is the primary distinction between private companies and public limited companies in terms of share trading?,"Shares in private companies can only be issued or transferred privately and cannot be traded publicly on a stock market, whereas public limited companies can trade their shares publicly.",Public limited companies,Business Law and Practice
61,What is the minimum share capital required for a public limited company?,"A public limited company must have a minimum share capital of £50,000.",Public limited companies,Business Law and Practice
62,What designation must public listed companies have at the end of their name?,"Public listed companies must have ""PLC"" at the end of their name.",Public limited companies,Business Law and Practice
63,How does the regulation of public limited companies compare to that of private companies?,The regulation of public limited companies is stricter than that of private companies.,Public limited companies,Business Law and Practice
64,"How many directors must a public limited company have, in addition to the company secretary?","A public limited company must have two directors, in addition to the company secretary.",Public limited companies,Business Law and Practice
65,What advantages does a public limited company enjoy regarding share transferability?,"A public limited company can more easily transfer shares, which can be beneficial for fulfilling the requirements of a deceased shareholder’s estate, even if it does not have a listing on the stock exchange.",Public limited companies,Business Law and Practice
66,"What perception might the designation ""PLC"" convey about a company?","The designation ""PLC"" can suggest that the company is a large concern and is often deemed more prestigious than ""Ltd,"" although this perception may be incorrect.",Public limited companies,Business Law and Practice
67,What is an important consideration when determining the appropriate business organisation for a client?,"An important consideration is the nature of the business, including its volatility and risk factors, which may lead to advice on using a limited liability vehicle or simpler organisational forms.","Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
68,How does the client's risk appetite influence the choice of business organisation?,The client's risk appetite can determine whether they prefer a limited liability vehicle for higher risk or a simpler structure for low-risk enterprises.,"Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
69,What might compel a client to choose a specific form of business organisation over another?,Compelling tax efficiency reasons can influence the decision to prioritize one business form over another.,Financing a business.,Business Law and Practice
70,Why is it essential for a solicitor to understand the overall context in advising on business organisations?,"Understanding the overall context is essential because it informs the choice of structure based on the unique characteristics of the business and the client's preferences, beyond just knowing the law.","Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
71,What is the process of incorporation and what documents are required for starting a private limited company in the UK?,"Incorporation is the process of formally registering a business at Companies House as a company, requiring documents such as the completed form IN01, a memorandum of association detailing the names of initial shareholders, and articles of association unless model articles are adopted.",Starting a new business through the vehicle of a company,Business Law and Practice
72,What are the dual principles of limited liability and separate legal personality in the context of a private limited company?,"The dual principles state that a private limited company acquires a separate legal personality upon registration, making it distinct from its shareholders, who benefit from limited liability, meaning their personal financial exposure is limited to the value of their shares.",The management of a business and company decision making to ensure compliance with statutory and other legal requirements,Business Law and Practice
73,Under what circumstances can a court pierce the corporate veil of a company?,"A court may pierce the corporate veil on rare occasions if it believes that the corporate form is being abused; however, such instances are uncommon and not determined solely by the interests of justice.","The interests, rights, obligations and powers of stakeholders in a business",Business Law and Practice
74,What are the filing requirements for a private limited company upon incorporation?,"Filing requirements include submitting the form IN01, the memorandum of association, and the articles of association to Companies House, along with providing specific details such as the company name, registered office, directors, shareholders, and capital statement.",Financing a business,Business Law and Practice
75,How does the Articles of Association govern the operation of a company?,"The Articles of Association serve as the company's constitution, outlining its internal rules, and can be amended after incorporation; they provide the framework for how the company is run, including the powers of directors and shareholder rights.",Taxation of a business and its stakeholders,Business Law and Practice
76,What mechanism is in place to address potential abuses of power by directors in a private limited company?,"The Companies Act 2006 imposes general duties on directors, including the duty to avoid conflicts of interest and the duty to act within their powers; shareholders can also remove a director through an ordinary resolution at a general meeting if necessary.","The termination of a solvent business, corporate insolvency and personal bankruptcy",Business Law and Practice
77,What conditions allow for the disapplication of directors' voting rights under the model articles?,"Under model article 14(1), a director is excluded from participating in the decision-making process if they have a disclosable interest in a proposed transaction; however, this provision can be disapplied by an ordinary resolution of shareholders.",The management of a business and company decision making to ensure compliance with statutory and other legal requirements,Business Law and Practice
78,How are pre-emption rights governed under the Companies Act 2006 and can they be amended?,Pre-emption rights grant existing shareholders the right of first refusal on new shares issued by the company and can be excluded or amended by a provision in the articles of association or through a special resolution of shareholders.,"The interests, rights, obligations and powers of stakeholders in a business",Business Law and Practice
79,What are the main roles of stakeholders in a private limited company?,"Stakeholders, which include employees, suppliers, trade creditors, and customers, are considered under modern corporate law and influence company decisions, particularly as directors owe fiduciary duties and must act in the best interests of the company.",Financing a business,Business Law and Practice
80,What financial decisions must shareholders typically make in a private limited company?,"Shareholders make key financial decisions such as declaring dividends, approving substantial property transactions, and authorising loans to directors or significant financial commitments, usually requiring an ordinary resolution based on their voting power.",Taxation of a business and its stakeholders,Business Law and Practice
81,What roles and responsibilities do directors have in the management of a private limited company?,"Directors are responsible for the day-to-day management of the company, owing fiduciary duties to promote the company’s success, manage conflicts of interest, and ensure compliance with the articles of association and statutory requirements.",The management of a business and company decision making to ensure compliance with statutory and other legal requirements,Business Law and Practice
82,How is the payment of dividends regulated under the model articles of a private limited company?,"Dividends can only be declared out of accumulated, realised profits and require an ordinary resolution of shareholders under the model articles; the tax treatment of share dividends differs from other forms of income, providing a dividend allowance under certain conditions.",Taxation of a business and its stakeholders,Business Law and Practice
83,"What are the implications for shareholders when a company is wound up, particularly concerning their liability?","When a company is wound up, shareholders are only liable for the company’s debts up to the amount unpaid on their shares, indicating that their personal assets are generally protected from claims by creditors.","The termination of a solvent business, corporate insolvency and personal bankruptcy",Business Law and Practice
84,What is the significance of the dual principles of limited liability and separate legal personality in a private limited company?,"The dual principles allow a private limited company to have a separate legal personality from its shareholders, enabling shareholders to enjoy limited liability, meaning their personal liabilities are restricted to the nominal value of their fully paid-up shares, thus protecting their personal assets from company obligations.",Formation of the company,Business Law and Practice
85,What does the term 'incorporation' refer to in the context of a company?,"Incorporation refers to the process of formally registering a business at Companies House as a company, which can be either new or existing.",Formation of the company,Business Law and Practice
86,What happens to the liability of shareholders when a company is registered and acquires separate legal personality?,"When a company is registered, it is considered a separate legal entity, and the shareholders' personal liability for the company's obligations is limited to the value of their fully paid-up shares, offering protection for their personal assets.",Formation of the company,Business Law and Practice
87,Under what circumstances can the corporate veil be pierced by the courts?,"The corporate veil can be pierced by the courts on very rare occasions if there is an abuse of the corporate form, although specific instances and clarity on when this applies are not distinctly outlined.",Formation of the company,Business Law and Practice
88,What does perpetual succession refer to in the context of a company?,"Perpetual succession refers to the ability of a company to continue to exist beyond the death or retirement of its shareholders, as the company is treated as a separate legal entity that does not cease to function based on changes in ownership.",Formation of the company,Business Law and Practice
89,What must be completed and submitted for the first step of incorporation of a company?,"The first step of incorporation requires the completion and submission of the IN01 form along with the memorandum of association, and also the articles of association if the applicant opts not to adopt the model articles.",Formation of the company,Business Law and Practice
90,What is included in the memorandum of association?,The memorandum of association includes the names of the initial shareholders and must be signed by them; it cannot be altered after incorporation.,Formation of the company,Business Law and Practice
91,How can the articles of association be modified after incorporation?,"The articles of association can be amended by the company after incorporation, and any changes must be communicated to Companies House.",Formation of the company,Business Law and Practice
92,What information is required on the IN01 Form when setting up a new company?,"The IN01 Form requires the company's name, registered office, first directors’ names and addresses, company secretary details (if applicable), first shareholders’ names and addresses, details of shareholding, statement of capital, and information about people of significant control (PSC).",Formation of the company,Business Law and Practice
93,What is the relationship between the number of ordinary shares owned by shareholders and their voting power in the company?,"The number of ordinary shares held by shareholders directly correlates to their voting power in the company, meaning those with more shares have a greater influence over decision-making.",Formation of the company,Business Law and Practice
94,What are the consequences of deciding to incorporate a private limited company?,"While incorporation provides advantages such as limited liability, it also imposes statutory requirements for accountability and publicity that must be adhered to throughout the company's existence.",Formation of the company,Business Law and Practice
95,What is the importance of considering initial financing during the formation of a new company?,Initial financing is crucial as it influences the level of control shareholders have over the company and can impact the future direction and stability of the business.,Formation of the company,Business Law and Practice
96,What are the dual principles that underscore the significance of incorporating a private limited company?,The dual principles are limited liability and separate legal personality.,Chapter overview,Business Law and Practice
97,In what context does the chapter address contracts regarding a company not yet in existence?,The chapter looks at the rare occasions where contracts are purportedly formed with a company that has not yet been incorporated.,Chapter overview,Business Law and Practice
98,What is discussed in terms of the incorporation process for a private limited company?,The chapter discusses the filing requirements necessary for incorporation.,Chapter overview,Business Law and Practice
99,What does the chapter conclude with regarding the financial aspects of a newly incorporated company?,The chapter concludes with thoughts on the appropriate methods of initial finance for a private limited company.,Chapter overview,Business Law and Practice
100,What is the process of incorporation in a business context?,"Incorporation refers to the formal registration of a business at Companies House as a company, whether it is new or existing.",Incorporation,Business Law and Practice
101,What are the two significant features of a private limited company after registration?,The two significant features are separate legal personality and limited liability.,Incorporation,Business Law and Practice
102,How does separate legal personality affect the legal status of a company?,"Separate legal personality means that a company is recognized in law as an entirely separate entity from those who established it, treating it as distinct from every individual and other companies.",Incorporation,Business Law and Practice
103,What is the implication of limited liability for shareholders in a private limited company?,"Limited liability means that shareholders are only liable for the company's obligations up to the nominal value of their fully paid-up shares, protecting their personal assets from claims by creditors.",Incorporation,Business Law and Practice
104,"In the case of a dispute or winding up of a company, who is typically sued?","In the event of a dispute or winding up, it is the company that is sued rather than the shareholders.",Incorporation,Business Law and Practice
105,What happens to the personal assets of shareholders in the event of a company's winding up?,"Creditors typically have no recourse to the personal assets of the shareholders when a company is wound up, as the company's own assets are used to satisfy its obligations.",Incorporation,Business Law and Practice
106,What advantages does separate legal personality offer with regard to contracts and property?,"A company can enter into contracts and hold property in its own name, allowing it to operate independently of its shareholders.",Incorporation,Business Law and Practice
107,How does the concept of perpetual succession benefit the existence of a company?,"Perpetual succession allows a company to continue existing regardless of the death or retirement of its shareholders, as shares can be transferred or passed on through a will.",Incorporation,Business Law and Practice
108,"Under what circumstances can the courts intervene to ""pierce"" the corporate veil?","The courts can intervene to pierce the corporate veil in very rare cases where they deem the corporate form is being abused, but not simply based on the interests of justice.",When separate legal personality does not apply,Business Law and Practice
109,What is the legal status of companies in a corporate group regarding separate legal personality?,"Each company in a corporate group typically has a separate legal personality, barring any statutory provision to the contrary, despite isolated cases where the courts have treated them as a single economic unit.",When separate legal personality does not apply,Business Law and Practice
110,What are some examples of when separate legal personality may be ignored by the courts?,"Separate legal personality may be ignored when parliament decrees it, such as in provisions outlined in the Insolvency Act 1986, and in situations where parent companies may owe tortious duties of care to subsidiary employees or where companies hold property on trust for a shareholder.",When separate legal personality does not apply,Business Law and Practice
111,How frequently do courts intervene to treat separately incorporated companies as one economic unit?,"The courts intervene to treat separately incorporated companies as one economic unit very rarely, and this line of cases has been doubted in key decisions like Woolfson v Strathclyde Regional Council and Adams v Cape.",When separate legal personality does not apply,Business Law and Practice
112,What are the key consequences of separate legal personality that arise from the decision in Salomon?,"The main consequences include the ability of small businesses to incorporate and benefit from limited liability, the legal and beneficial ownership of property by the company itself, and the potential for a company to form contracts in its own right.",Unexpected consequences of separate legal personality,Business Law and Practice
113,How does case law establish the property rights of companies in relation to their shareholders?,"Case law demonstrates that property held by a company is legally and beneficially owned by the company, and shareholders do not own company property until the company is wound up, despite being entitled to any surplus.",Unexpected consequences of separate legal personality,Business Law and Practice
114,"In the context of insurable interest, what issue did a businessman face due to separate legal personality?","The businessman, despite being the principal shareholder and creditor, was unable to claim on an insurance policy in his name because he lacked an insurable interest in the insured property held by the company.",Unexpected consequences of separate legal personality,Business Law and Practice
115,What was the central question in the case of Lee regarding Mr. Lee’s employment status within the company?,"The central question was whether Mr. Lee, as a shareholder and managing director of a company where he held nearly all shares, was considered an employee of the company under a New Zealand statute.",Unexpected consequences of separate legal personality,Business Law and Practice
116,What principle did the Privy Council rely on to determine Mr. Lee’s employment status in the case of Lee?,"The Privy Council relied on the Salomon principle, which allows a company to form its own contracts, to conclude that Mr. Lee was an employee of the company.",Unexpected consequences of separate legal personality,Business Law and Practice
117,"What roles did Mr. Lee hold in relation to the formation of his contract of employment, according to the decision in Lee?","Mr. Lee acted in multiple roles, being both the agent (as a director) who arranged the contract and the employee of the company.",Unexpected consequences of separate legal personality,Business Law and Practice
118,How can the decisions in Lee and Macaura be interpreted in relation to the Salomon principle?,"The decisions can be seen as consistent with the Salomon principle, as they demonstrate the logical consequences of a company acquiring a separate legal personality, even if they may seem absurd to practitioners unfamiliar with company law tradition.",Unexpected consequences of separate legal personality,Business Law and Practice
119,What are the benefits of a company being able to hold property and form contracts in its own right?,"These abilities have been hugely beneficial to business, facilitating operations, and enhancing legal and financial security.",Unexpected consequences of separate legal personality,Business Law and Practice
120,What is the liability of a person who forms a contract on behalf of a company that has not yet been incorporated?,"The person will be personally liable for the obligations under the contract, unless they expressly exclude this effect as per the Companies Act 2006.",Pre-incorporation contracts,Business Law and Practice
121,Under which section of the Companies Act 2006 is the liability of a person acting on behalf of an unformed company addressed?,The liability is addressed under section 51(1) of the Companies Act 2006.,Pre-incorporation contracts,Business Law and Practice
122,What is the effect of a contract made on behalf of a company that has not been formed according to s.51(1)?,"Such a contract has effect as one made with the person purporting to act for the company or as an agent for it, and they are personally liable on the contract accordingly.",Pre-incorporation contracts,Business Law and Practice
123,"Can a person avoid personal liability for a contract made on behalf of an unformed company, and if so, how?","Yes, they can avoid personal liability by expressly excluding it in the contract as allowed by the Companies Act 2006.",Pre-incorporation contracts,Business Law and Practice
124,What initial documents must be submitted for the incorporation of a company?,"The initial documents required for incorporation include form IN01, the memorandum of association, and the articles of association (if the applicant has opted not to adopt the model articles).",Requirements for registration,Business Law and Practice
125,What essential information must be included on the IN01 Form for company registration?,"The IN01 Form must include the company name, registered office, first directors, directors’ residential and service addresses, company secretary (if applicable), company secretary’s service address (if applicable), first shareholders’ names and addresses, details of shareholding, statement of capital, details of people of significant control (PSC), and a statement of compliance.",Requirements for registration,Business Law and Practice
126,What is the purpose of the memorandum of association in the incorporation process?,The memorandum of association sets out the names of the initial shareholders and is signed by them; it cannot be altered after incorporation.,Requirements for registration,Business Law and Practice
127,What is the role of the articles of association in a company?,"The articles of association outline the constitution of the company and can be amended after incorporation, with any amendments needing to be communicated to Companies House.",Requirements for registration,Business Law and Practice
128,Who qualifies as a person of significant control (PSC) within a company?,"A person of significant control (PSC) is an individual or legal person who holds more than 25% of the shares, more than 25% of the voting rights, or holds the right to appoint or remove a majority of the board.",Requirements for registration,Business Law and Practice
129,How can the articles of association be modified post-incorporation?,"The articles of association can be amended by the company after incorporation, provided that any amendments are communicated to Companies House.",Requirements for registration,Business Law and Practice
130,How does the number of ordinary shares subscribed by shareholders affect their voting power in a company?,The number of ordinary shares held by shareholders directly correlates to their voting power within the company; more shares equate to greater influence in decision-making.,Initial financing considerations,Business Law and Practice
131,What are the key consequences of incorporating a private limited company?,Incorporating a private limited company leads to limited liability for its owners but requires adherence to statutory accountability and publicity obligations from the point of incorporation.,"Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
132,What is the process of incorporation like for small companies?,"The incorporation process for small companies is relatively straightforward and inexpensive; however, ongoing compliance with company rules is necessary throughout the company's existence.","Starting a new business through the vehicle of a company, partnership, LLP or as a sole trader.",Business Law and Practice
133,Why is the initial financing decision for a company significant?,The initial financing decisions are significant as they can have far-reaching consequences regarding the control that others may have over the future direction of the business.,Financing a business.,Business Law and Practice
134,What is the primary document that constitutes the articles of association of a company at incorporation?,The articles of association serve as the primary document that constitutes the company's constitution at incorporation.,The constitution of the company,Business Law and Practice
135,What must every company have from the point of incorporation?,Every company must have a set of articles of association from incorporation.,The constitution of the company,Business Law and Practice
136,How can the articles of association be altered?,"The articles of association can be altered by a special resolution, which requires a 75% vote of the shareholders, and if this alteration affects different classes of shares, additional requirements may apply.",The constitution of the company,Business Law and Practice
137,What is usually required to understand how a company is meant to operate?,"To understand how a company is meant to operate, a solicitor usually needs to examine the articles of association.",The constitution of the company,Business Law and Practice
138,How are the articles of association regarded in relation to the Companies Act 2006?,Many provisions in the Companies Act 2006 are not mandatory and will apply only if the articles of association are silent on a particular area.,The constitution of the company,Business Law and Practice
139,What power does the articles of association typically grant to directors?,The articles of association typically grant directors the powers required to run the company through a general management clause.,The constitution of the company,Business Law and Practice
140,What happens if a company does not choose to use bespoke articles of association?,"If a company does not choose to use bespoke articles, it will be incorporated with the proscribed model articles.",The constitution of the company,Business Law and Practice
141,What must a company do if it wishes to adopt a new set of articles of association?,"If a company wishes to adopt a new set of articles, it must do so explicitly.",The constitution of the company,Business Law and Practice
142,What are pre-emption rights?,Pre-emption rights are the existing shareholders' rights of first refusal on an issue of new shares by the company.,The constitution of the company,Business Law and Practice
143,How can pre-emption rights be excluded or amended?,Pre-emption rights can be excluded or amended by a provision in the articles of association.,The constitution of the company,Business Law and Practice
